ebid,name,stub,area,type,longitude,latitude,function,url,address1,address2,city,postcode,timestamp
0603,"Faraday Building",faraday-building,kb,building,-3.1716692447662354,55.9223360512652800,,,"Colin Maclaurin Road","King's Buildings",Edinburgh,"EH9 3DW","2015-12-17 10:10:42"
,"Chancellor's Building",chancellors-building,littlefrance,building,-3.1368756294250490,55.9220181396980500,,,49,"Little France Crescent",Edinburgh,"EH16 4SB","2014-09-30 15:21:50"
,"Queen's Medical Research Institute",qmri,littlefrance,building,-3.1388711929321290,55.9222413693940400,,,"47 Little France Crescent",NULL,Edinburgh,"EH16 4TJ","2014-09-30 15:21:50"
,"Chrystal Macmillan Building",chrystal-macmillan-building,central,building,-3.1908416748046875,55.9441765328811300,,,15a,"George Square",Edinburgh,"EH8 9LD","2015-12-21 14:50:02"
,"Visitor Centre",visitor-centre,central,building,-3.1877946853637695,55.9450867572402600,,,2,"Charles Street",Edinburgh,"EH8 9AD","2015-12-21 14:46:12"
,"Talbot Rice Gallery",talbot-rice-gallery,central,building,-3.1878644227981567,55.9471933088459540,,,"Old College","South Bridge",Edinburgh,"EH8 9YL","2015-12-17 10:10:40"
0009,"Charles Stewart House",charles-stewart-house,central,building,-3.1879770755767822,55.9479614837865200,,,9-16,"Chambers Street",Edinburgh,"EH1 1HT","2015-12-21 14:12:48"
0701,"Royal (Dick) School of Veterinary Studies",dick-vet-easter-bush,easter,building,-3.2010340690612793,55.8658360390777300,,,"Easter Bush",Midlothian,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Buccleuch Place",buccleuch-place,central,building,-3.1865286827087402,55.9428735430130360,,,"Buccleuch Place",NULL,Edinburgh,,"2014-09-30 15:21:50"
0658,"Erskine Williamson Building",erskine-williamson-building,kb,building,-3.1745553016662598,55.9213997425953900,,,"Peter Guthrie Tait Road","King's Buildings",Edinburgh,"EH9 3FD","2015-12-17 10:11:57"
0109,"Health Centre",health-centre,central,building,-3.1881996989250183,55.9458580780220500,,,"6 Bristo Square",,Edinburgh,"EH8 9AL","2015-12-17 10:10:40"
,"William Rankine Building",william-rankine-building,kb,building,-3.1731122732162476,55.9225299229466700,,,"Thomas Bayes Road","King's Buildings",Edinburgh,"EH9 3FG","2015-12-17 10:10:42"
0558,"Charteris Land",charteris-land,central,building,-3.1809121370315550,55.9501515797825100,,,"Holyrood Road",,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
0561,"Simon Laurie House",simon-laurie-house,central,building,-3.1815370917320250,55.9509011741071300,,,"186 -198 Canongate",,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
0553,"St John's Land",st-johns-land,central,building,-3.1810247898101807,55.9508486118686200,,,Holyrood,,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
0552,"Dalhousie Land",dalhousie-land,central,building,-3.1807351112365723,55.9506295517108000,,,Holyrood,,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
0556,"Old Nursery School Building",nursery,central,building,-3.1806653738021850,55.9504253080368300,,,Holyrood,,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
0555,"Thomson's Land",thomsons-land,central,building,-3.1800457835197450,55.9507765263969360,,,Holyrood,,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
,"Moray House Reception / Old Moray House",moray-house-reception,central,building,-3.1804883480072020,55.9510920995776900,,,Holyrood,,Edinburgh,"EH8 8AQ","2015-12-17 10:10:41"
,"Roslin Institute",roslin-institute,easter,building,-3.1981158256530760,55.8654627786743400,,http://www.roslin.ac.uk/,"Easter Bush",Midlothian,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Procurement Office incorporating Printing Services",procurement-office,central,building,-3.1851929426193237,55.9483617857850800,,,"13 Infirmary Street",,Edinburgh,"EH1 1LT","2015-12-17 10:10:40"
,"MacKenzie Medical Centre",mackenzie-medical-centre,central,building,-3.1835299730300903,55.9455922279190640,,,"Levinson House","20 West Richmond Street",Edinburgh,"EH8 9DX","2015-12-17 10:10:40"
0322,"Roxburgh Street (1)",roxburgh-street,central,building,-3.1833046674728394,55.9478807820734050,,,"1 Roxburgh Street",,Edinburgh,"EH8 9TA","2015-12-17 10:10:41"
,"Western General Hospital",western-general,westerngeneral,building,-3.2348728179931640,55.9620294457321560,,,"Crewe Road South",,Edinburgh,"EH4 2XU","2015-12-17 10:10:42"
0271-0272,"Hope Park Square",hope-park,central,building,-3.1860485672950745,55.9420752097637600,,,"Hope Park Square",,Edinburgh,"EH8 9NW","2015-12-17 10:10:39"
,"Careers Service (King's Buildings)",,kb,building,-3.1792491674423218,55.9232092176204700,,,"Weir Building","Max Born Crescent",Edinburgh,"EH9 3BF","2014-10-23 14:26:19"
,"Peffermill Playing Fields Office",peffermill,NULL,building,-3.1566488742828370,55.9299834785229400,,,"Laurie Liddell Clubhouse","42 Peffermill Road",Edinburgh,"EH16 5LL","2014-09-30 15:21:50"
,Firbush,firbush,NULL,building,-4.2703503370285030,56.4751287681757600,,,Killin,Perthshire,,"FK21 8SU","2014-09-30 15:21:50"
,"Royal Observatory, Edinburgh",royal-observatory,NULL,building,-3.1872367858886720,55.9228601538269600,,,"Blackford Hill",,Edinburgh,"EH9 3HJ","2014-09-30 15:21:50"
,"C.H. Waddington Building",ch-waddington,kb,building,-3.1700813770294190,55.9216402092597900,,http://csbe.bio.ed.ac.uk,"Max Born Crescent","King's Buildings",Edinburgh,"EH9 3BF","2015-12-17 10:10:42"
,Labyrinth,labyrinth,central,building,-3.1895273923873900,55.9438284590276300,,http://www.ed.ac.uk/schools-departments/labyrinth/,"George Square",,Edinburgh,"EH8 9JZ.","2015-12-17 10:10:39"
,"Institute for Academic Development",academic-development,central,building,-3.1821757704892660,55.9498129209811600,,,"1 Morgan Lane",,Edinburgh,"EH8 8FP","2016-01-19 11:03:59"
,"Royal Edinburgh Hospital",royal-edinburgh-hospital,NULL,building,-3.2134473323822020,55.9278273042274700,,,,,Edinburgh,"EH10 5HF","2014-09-30 15:21:50"
,"Hospital for Small Animals",small-animals-hospital,easter,building,-3.2022893428802490,55.8650834942677400,,,"Easter Bush",Midlothian,Edinburgh,"EH25 9RG","2014-09-30 15:21:50"
,"Old Faculty Office",old-faculty-office,kb,building,-3.1785035133361816,55.9235578775196900,,,"Max Born Crescent ","King's Buildings",Edinburgh,"EH9 3BF","2014-10-23 14:49:29"
,"Infirmary Street (9-11)","Infirmary Steet",central,building,-3.1853377819061280,55.9483347520127000,,,"9-11 Infirmary Street","EH1 1NP",,,"2015-12-17 10:10:40"
,"Bristo Square (7)",bristo-square,central,building,-3.1881058216094970,55.9456913586793300,,,"7 Bristo Square",,Edinburgh,"EH8 9AL","2015-12-17 10:10:40"
,"John McIntyre Conference Centre",john-mcIntyre-conference-centre,central,building,-3.1700706481933594,55.9400090542789300,,,18,"Holyrood Park Road",Edinburgh,"EH16 5AY","2014-09-30 15:21:50"
,"Library Annexe",library-annexe,NULL,building,-3.3035373687744140,55.9305003655093700,,,"Unit 1a","20 To 22 South Gyle Crescent",Edinburgh,"EH12 9EB","2014-09-30 15:21:50"
,"Old Surgeons' Hall",old-surgeons-hall,central,building,-3.1831464171409607,55.9484864412690800,,,"Surgeons Square","High School Yards",Edinburgh,"EH1 1LZ","2015-12-17 10:10:41"
,"Old Infirmary (Geography)",institute-of-geography,central,building,-3.1837606430053710,55.9482334252486500,,,"1 Drummond Street",,Edinburgh,"EH8 9XP","2015-12-17 10:10:41"
,"Drummond Library (GeoSciences)",drummond-library,central,building,-3.1829774379730225,55.9486869905629200,,,"High School Yards",,Edinburgh,"EH1 1LZ","2015-12-17 10:10:41"
,"Chisholm House",chisholm-house,central,building,-3.1830418109893800,55.9488491914385600,,,"1 Surgeons Square","High School Yards",Edinburgh,"EH1 1LZ","2015-12-17 10:10:41"
,"Drummond Street Annex",drummond-street-annex,central,building,-3.1829130649566650,55.9482574553323400,,,"1 Drummond Street",NULL,Edinburgh,"EH1 1LZ","2014-09-30 15:21:50"
,"Evolution House",evolution-house,central,building,-3.2005995512008667,55.9460736605762700,,,"78 Westport",NULL,Edinburgh,"EH1 2LE","2014-09-30 15:21:50"
,"Hunter Building",hunter-building,central,building,-3.1980729103088380,55.9451282124570850,,,"Lauriston Place",NULL,Edinburgh,"EH3 9DF","2014-09-30 15:21:50"
,"ECA Main Building",eca-main-building,central,building,-3.1990599632263184,55.9458551741833600,,,"Lauriston Place",NULL,Edinburgh,"EH3 9DF","2014-09-30 15:21:50"
,"William Robertson Wing",william-robertson-wing,central,building,-3.1907665729522705,55.9450080521798600,,,"Doorway 4","Teviot Place",Edinburgh,"EH8 9AG","2015-12-21 14:50:02"
,"Economics, School of",economics,central,building,-3.1860029697418213,55.9431288972300800,,,"30-31 Buccleuch Place",,Edinburgh,"EH8 9JT","2015-12-17 10:10:39"
